name,adjusted,variable,alpha,history_days,max_scenarios,baseline,risk_mode,capacity,power,eta,emergency,events,cash_cost_yuan,alternative_cash_cost_yuan,plan_kwh,final_contract_kwh,emergency_kwh,unused_contract_kwh,pv_curtailed_kwh,charge_kwh,discharge_kwh,emergency_slots,settlement_yuan,emergency_yuan,days,soc_end_kwh,soc_bound_rate,equivalent_cycles,pv_curtailment_rate,max_balance_residual_kwh
q43_12h,True,True,0.8,60,9,safe,unclustered,12000.0,5000.0,0.9,5.0,"[0, 12]",17313769.28975306,17880612.409220885,24981487.90461539,24189348.398441657,231882.13706009375,3409149.796775229,1944760.9304199028,5938233.195026793,4810102.8816868365,1538.0,15792681.56823329,1521087.7215197696,334,10651.118094294772,0.35227461743180305,447.84733652973455,0.10198605849647899,3.410605131648481e-13
q43_6h,True,True,0.8,60,9,safe,unclustered,12000.0,5000.0,0.9,5.0,"[0, 6, 12, 18]",16670494.99857288,17431464.96332042,24981118.97141345,24073093.1951501,100932.41292954746,3226185.393850722,1869482.9969019294,5996324.822151069,4857157.099790742,1163.0,16026394.342801578,644100.6557713023,334,10651.117946249566,0.3387183965402528,452.2284134142421,0.09803837546193733,3.410605131648481e-13
q43_2h,True,True,0.8,60,9,safe,unclustered,12000.0,5000.0,0.9,5.0,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22]",16044509.750096137,17405962.150089536,24984551.37529128,23072213.07033688,48765.83738594859,2130714.647962586,1840187.9300810369,6373793.8394538015,5162907.004741265,1005.0,15743520.710260734,300989.0398354017,334,10651.116907015481,0.3087159015302728,480.69586850812783,0.09650210005053819,3.410605131648481e-13
q2_alpha_0.70,False,False,0.7,60,9,safe,unclustered,12000.0,5000.0,0.9,5.0,"[0, 6, 12, 18]",19502710.742633894,19502710.742633894,23435144.656969152,23435144.656969152,820753.7127240261,3366063.7699684924,1872774.5864007613,5673972.832947048,4596102.314589795,3180.0,14527787.007987,4974923.734646895,334,10595.200108129517,0.36616350632069194,427.9197978140352,0.09821099114642755,3.410605131648481e-13
q2_alpha_0.75,False,False,0.75,60,9,safe,unclustered,12000.0,5000.0,0.9,5.0,"[0, 6, 12, 18]",18917407.3785369,18917407.3785369,24037613.741245247,24037613.741245247,654634.4757782677,3755983.177492317,1922662.0663475264,5655631.298446652,4581217.820229642,2655.0,14931538.131882846,3985869.2466540523,334,10626.146124604951,0.3798444777112442,426.53537994484554,0.10082716230068565,3.552713678800501e-13
q2_alpha_0.85,False,False,0.85,60,9,safe,unclustered,12000.0,5000.0,0.9,5.0,"[0, 6, 12, 18]",18080256.653431073,18080256.653431073,25463310.03180541,25463310.03180541,352786.2616805673,4766002.674469797,2054050.0842697795,5562989.886689937,4506135.846910201,1579.0,15904116.340793181,2176140.3126378963,334,10673.290342941124,0.4202636393878909,419.5469055666724,0.10771733881130803,3.979039320256561e-13
q2_alpha_0.90,False,False,0.9,60,9,safe,unclustered,12000.0,5000.0,0.9,5.0,"[0, 6, 12, 18]",17820050.084200986,17820050.084200986,26340544.196264107,26340544.196264107,211770.5053200858,5421583.851238191,2148112.1878634477,5492098.1983732525,4448669.030857367,1005.0,16506458.932725366,1313591.1514756167,334,10722.788694409206,0.4470434131736527,414.19863455127586,0.11265009072407627,3.410605131648481e-13
q2_alpha_0.95,False,False,0.95,60,9,safe,unclustered,12000.0,5000.0,0.9,5.0,"[0, 6, 12, 18]",17874943.655972973,17874943.655972973,27486300.739822075,27486300.739822075,93790.43269649937,6368747.250135101,2254174.7038741275,5357788.018645695,4339808.2951030135,510.0,17297103.020327196,577840.6356457788,334,10800.0,0.4904981703260146,404.0665130728629,0.11821216151280473,3.694822225952521e-13
q2_clusters_5,False,False,0.8,60,5,safe,clustered,12000.0,5000.0,0.9,5.0,"[0, 6, 12, 18]",18895898.75830123,18895898.75830123,24441717.522118792,24441717.522118792,608562.9383441103,4097460.6764980536,1944737.7715633465,5626765.083489841,4557872.566055002,2580.0,15225199.061026175,3670699.6972750546,334,10585.723968632625,0.38932551563539586,424.35990206436844,0.10198484401275375,3.694822225952521e-13
q2_clusters_12,False,False,0.8,60,12,safe,clustered,12000.0,5000.0,0.9,5.0,"[0, 6, 12, 18]",18662916.364415593,18662916.364415593,24548489.08533958,24548489.08533958,555112.0066831713,4139268.6447485853,1953097.7368750651,5643184.43997159,4571139.224539155,2376.0,15283904.411287433,3379011.953128159,334,10622.413153147578,0.3886185961410512,425.5968193546144,0.10242325260990989,3.836930773104541e-13
q2_clusters_16,False,False,0.8,60,16,safe,clustered,12000.0,5000.0,0.9,5.0,"[0, 6, 12, 18]",18624660.825936574,18624660.825936574,24550718.47042947,24550718.47042947,547722.8302948936,4135140.2009704076,1953495.3400958613,5635564.821426031,4564948.556734602,2319.0,15288778.644249141,3335882.1816874365,334,10643.276244981816,0.3897205588822355,425.02139075669305,0.10244410349430408,3.552713678800501e-13
q2_history_30,False,False,0.8,30,9,safe,unclustered,12000.0,5000.0,0.9,5.0,"[0, 6, 12, 18]",16782900.690617807,16782900.690617807,24720439.474874675,24720439.474874675,228482.14229903076,3914932.19009273,1995531.3761248072,5785771.405042903,4686502.8490534,1120.0,15358258.364239784,1424642.3263780233,334,10768.876701500392,0.3912175648702595,436.34476058734595,0.10464853364422617,4.547473508864641e-13
q2_history_90,False,False,0.8,90,9,safe,unclustered,12000.0,5000.0,0.9,5.0,"[0, 6, 12, 18]",19223289.166539617,19223289.166539617,25027240.80937668,25027240.80937668,598539.7398372625,4590844.966604939,2051132.2558701597,5498886.689068939,4454272.857296759,2388.0,15599573.433185074,3623715.7333545443,334,10605.956498978698,0.42194777112441784,414.7149810985707,0.10756432369608661,3.694822225952521e-13
q2_capacity_0.8,False,False,0.8,60,9,safe,unclustered,9600.0,5000.0,0.9,5.0,"[0, 6, 12, 18]",18984117.24072434,18984117.24072434,24513455.847461406,24513455.847461406,509128.3498818289,4102436.0345498193,2095880.1951129797,4659118.91572955,3774040.443015781,2361.0,15937018.705164872,3047098.5355594694,334,8468.75413905998,0.42569028609447773,439.22704993465265,0.10991096994850272,4.547473508864641e-13
q2_power_0.8,False,False,0.8,60,9,safe,unclustered,12000.0,4000.0,0.9,5.0,"[0, 6, 12, 18]",18469364.794650786,18469364.794650786,24317635.549742214,24317635.549742214,494910.9311890524,3851915.8052473036,2021340.5491440848,5272944.343439067,4272843.711865854,2909.0,15379101.87291633,3090262.9217344527,334,8845.78479976676,0.35533100465735196,397.7411689710384,0.10600200377421354,3.410605131648481e-13
q2_capacity_1.2,False,False,0.8,60,9,safe,unclustered,14400.0,5000.0,0.9,5.0,"[0, 6, 12, 18]",17905349.042490598,17905349.042490598,24542460.84006239,24542460.84006239,486125.2173999472,3937913.9182478026,1956078.97524915,6300712.961468056,5105309.292469335,1731.0,14804747.576373518,3100601.4661170794,334,11035.784799766761,0.33809464404524286,396.04243937282604,0.10257959303533469,4.547473508864641e-13
q2_power_1.2,False,False,0.8,60,9,safe,unclustered,12000.0,6000.0,0.9,5.0,"[0, 6, 12, 18]",18417670.710345253,18417670.710345253,24718190.450138353,24718190.450138353,505348.31436264503,4209745.357823191,1986370.1792551298,5728357.12489926,4640123.392443246,1990.0,15329822.817145469,3087847.893199783,334,10628.75413905998,0.4002203925482369,432.0200215559378,0.10416810731251919,4.547473508864641e-13
q2_roundtrip_0.9,False,False,0.8,60,9,safe,unclustered,12000.0,5000.0,0.9486832980505138,5.0,"[0, 6, 12, 18]",18004902.73713407,18004902.73713407,24053375.033292446,24053375.033292446,514806.34278614755,4082503.1857700897,1975765.1003608587,5708777.218206928,5138053.623225946,2116.0,14851482.812218523,3153419.9249155484,334,10637.53604598232,0.3765177977378576,451.951285059703,0.10361196173207637,3.410605131648481e-13
q2_emergency_3,False,False,0.8,60,9,safe,unclustered,12000.0,5000.0,0.9,3.0,"[0, 6, 12, 18]",17221128.64757608,17221128.64757608,24703183.50702332,24703183.50702332,499461.61793698,4217462.441203058,1977439.0051563606,5624699.880602252,4556145.696968033,2069.0,15383249.090563633,1837879.5570124476,334,10645.784799766761,0.3953343313373254,424.20189906542856,0.10369974370554225,3.694822225952521e-13
q2_emergency_4,False,False,0.8,60,9,safe,unclustered,12000.0,5000.0,0.9,4.0,"[0, 6, 12, 18]",17833755.16658023,17833755.16658023,24703183.50702332,24703183.50702332,499461.61793698,4217462.441203058,1977439.0051563606,5624699.880602252,4556145.696968033,2069.0,15383249.090563633,2450506.076016597,334,10645.784799766761,0.3953343313373254,424.20189906542856,0.10369974370554225,3.694822225952521e-13
q2_emergency_6,False,False,0.8,60,9,safe,unclustered,12000.0,5000.0,0.9,6.0,"[0, 6, 12, 18]",19059008.20458853,19059008.20458853,24703183.50702332,24703183.50702332,499461.61793698,4217462.441203058,1977439.0051563606,5624699.880602252,4556145.696968033,2069.0,15383249.090563633,3675759.1140248952,334,10645.784799766761,0.3953343313373254,424.20189906542856,0.10369974370554225,3.694822225952521e-13
q2_emergency_8,False,False,0.8,60,9,safe,unclustered,12000.0,5000.0,0.9,8.0,"[0, 6, 12, 18]",20284261.242596827,20284261.242596827,24703183.50702332,24703183.50702332,499461.61793698,4217462.441203058,1977439.0051563606,5624699.880602252,4556145.696968033,2069.0,15383249.090563633,4901012.152033194,334,10645.784799766761,0.3953343313373254,424.20189906542856,0.10369974370554225,3.694822225952521e-13
q43_alpha_0.70,True,True,0.7,60,9,safe,unclustered,12000.0,5000.0,0.9,5.0,"[0, 6, 12, 18]",16729755.357134068,17286394.64136526,23882968.180590693,23544800.304805305,165787.21222182675,2802081.8113659136,1809085.2901548764,6107448.634593439,4947217.714053761,1687.0,15680326.01297869,1049429.3441553782,334,10595.199963248504,0.3078426480372588,460.6110978603,0.09487103290738069,3.410605131648481e-13
q43_alpha_0.75,True,True,0.75,60,9,safe,unclustered,12000.0,5000.0,0.9,5.0,"[0, 6, 12, 18]",16677774.9708395,17331037.518136494,24413560.169346496,23794506.901261687,132139.77303591074,2999201.758875916,1837302.5122017378,6058470.173880394,4907517.26562711,1422.0,15836984.279091796,840790.6917477068,334,10626.194684453241,0.32139886892880903,456.9161433128126,0.0963507845895877,3.410605131648481e-13
q43_alpha_0.85,True,True,0.85,60,9,safe,unclustered,12000.0,5000.0,0.9,5.0,"[0, 6, 12, 18]",16726721.80930616,17615157.398077916,25616024.184925146,24401023.511562686,72381.88270353893,3504336.9116724296,1904603.569712452,5923058.822679903,4797783.404765225,893.0,16264787.552594148,461934.256712012,334,10682.490672774373,0.3594685628742515,446.7017594768804,0.09988014878073309,3.410605131648481e-13
q43_alpha_0.90,True,True,0.9,60,9,safe,unclustered,12000.0,5000.0,0.9,5.0,"[0, 6, 12, 18]",16878121.44476688,17923955.93315606,26366713.2277423,24809688.024304733,46404.67230698054,3853357.982200434,1955482.483827293,5832249.694809451,4724186.95919213,603.0,16580963.094583329,297158.3501835492,334,10728.10400391821,0.3881403858948769,439.8515272500658,0.10254831216780459,3.801403636316536e-13
q43_alpha_0.95,True,True,0.95,60,9,safe,unclustered,12000.0,5000.0,0.9,5.0,"[0, 6, 12, 18]",17216187.11624787,18500469.8202615,27382055.8322791,25389257.87296229,23323.918293942224,4360747.339654431,2029201.5407987256,5702333.7675600415,4618890.351723634,320.0,17064814.69116151,151372.42508636182,334,10800.0,0.4311585163007319,430.0510049701532,0.10641424547559193,3.410605131648481e-13
q43_clusters_5,True,True,0.8,60,5,safe,clustered,12000.0,5000.0,0.9,5.0,"[0, 6, 12, 18]",16821969.533750884,17606989.99569926,24580601.44324155,23905660.763642717,116676.21268809921,3094853.5017932206,1845649.4992652736,6014620.575736233,4871976.095430576,1331.0,16088676.232013533,733293.3017373525,334,10651.745461970086,0.3168870592149035,453.60819463195037,0.09678851258875484,3.410605131648481e-13
q43_clusters_12,True,True,0.8,60,12,safe,clustered,12000.0,5000.0,0.9,5.0,"[0, 6, 12, 18]",16722421.981805718,17489163.871807482,24712542.67741488,23930926.361262716,114069.19680110179,3109673.3801135877,1851744.2622909644,6023742.554072741,4879354.133380141,1322.0,16000662.161927536,721759.8198781816,334,10663.706020866637,0.32640968063872255,454.29569531053676,0.09710813072213953,3.410605131648481e-13
q43_clusters_16,True,True,0.8,60,16,safe,clustered,12000.0,5000.0,0.9,5.0,"[0, 6, 12, 18]",16711606.596951243,17475110.30539936,24733657.761310145,23939052.738328557,112877.88455806172,3115559.8005376207,1852994.011086851,6022838.86634887,4878651.550053391,1288.0,15995991.327531645,715615.2694196011,334,10631.035210216332,0.3265136393878909,454.22876735009424,0.09717366934532426,3.410605131648481e-13
q43_history_30,True,True,0.8,30,9,safe,unclustered,12000.0,5000.0,0.9,5.0,"[0, 6, 12, 18]",16281979.259446366,17099809.261779197,25108460.88802313,24017435.51963555,53784.22817719652,3123547.8615071466,1865008.1745456718,6018393.7065523565,4874919.489759094,742.0,15941854.462549426,340124.79689694126,334,10777.125053683047,0.3395292747837658,453.8880498463105,0.09780370934568205,3.410605131648481e-13
q43_history_90,True,True,0.8,90,9,safe,unclustered,12000.0,5000.0,0.9,5.0,"[0, 6, 12, 18]",16973883.213607423,17769909.062042236,25288286.571194362,24319787.410512462,114740.45132956153,3472743.585666336,1895613.9943507006,5932396.97968293,4805416.192824611,1207.0,16227957.375300076,745925.8383073495,334,10605.956353958922,0.3568488023952096,447.40888218781424,0.0994087225275822,3.410605131648481e-13
q43_capacity_0.8,True,True,0.8,60,9,safe,unclustered,9600.0,5000.0,0.9,5.0,"[0, 6, 12, 18]",17306754.856022377,18068986.906130236,24813891.510798052,23925699.64552045,110567.00234769442,3169672.8620741484,1974879.575636967,5013901.48977275,4061376.774582385,1254.0,16610438.224587314,696316.6314350639,334,8510.480148380686,0.3595933133732535,472.6707429351632,0.1035655235427451,3.410605131648481e-13
q43_power_0.8,True,True,0.8,60,9,safe,unclustered,12000.0,4000.0,0.9,5.0,"[0, 6, 12, 18]",16636493.654151337,17383761.80808604,24583679.71537848,23757232.10165607,98308.31935379155,2934923.53039031,1910803.1376515513,5641278.425030947,4570654.167029604,2205.0,16016309.409475636,620184.2446757008,334,9445.952494957883,0.312811876247505,425.4971913358563,0.10020526303441843,3.410605131648481e-13
q43_capacity_1.2,True,True,0.8,60,9,safe,unclustered,14400.0,5000.0,0.9,5.0,"[0, 6, 12, 18]",15944400.051451996,16687367.888526913,24801595.429384835,23915509.32761558,78760.35022997149,2938802.8070787415,1843057.5161714228,6706718.433810833,5433498.574182115,1046.0,15432391.829922708,512008.22152928484,334,11785.952449622777,0.3011269128409847,421.5353127775329,0.09665258526972222,3.410605131648481e-13
q43_power_1.2,True,True,0.8,60,9,safe,unclustered,12000.0,6000.0,0.9,5.0,"[0, 6, 12, 18]",16638107.476167075,17407541.415423084,25002277.64301697,24045870.747288223,102458.0369668525,3190867.399506575,1858496.644166384,6104693.755308193,4944918.509692742,997.0,15985690.611945674,652416.8642214016,334,10670.480118771888,0.3376164337990685,460.40051104170567,0.0974622353332335,4.547473508864641e-13
q43_roundtrip_0.9,True,True,0.8,60,9,safe,unclustered,12000.0,5000.0,0.9486832980505138,5.0,"[0, 6, 12, 18]",16138764.625171915,16877021.273657624,24332956.843766626,23432482.624337025,101927.7270494959,3114206.65514236,1867275.853210522,6138873.765203141,5525135.417136166,1176.0,15487102.690220898,651661.9349510152,334,10642.91021709222,0.30549318030605455,486.0003825974711,0.09792262967431839,3.410605131648481e-13
q43_emergency_3,True,True,0.8,60,9,safe,unclustered,12000.0,5000.0,0.9,3.0,"[0, 6, 12, 18]",16412854.73626436,17173824.7010119,24981118.97141345,24073093.1951501,100932.41292954746,3226185.393850722,1869482.9969019294,5996324.822151069,4857157.099790742,1163.0,16026394.342801578,386460.39346278127,334,10651.117946249566,0.3387183965402528,452.2284134142421,0.09803837546193733,3.410605131648481e-13
q43_emergency_4,True,True,0.8,60,9,safe,unclustered,12000.0,5000.0,0.9,4.0,"[0, 6, 12, 18]",16541674.86741862,17302644.832166158,24981118.97141345,24073093.1951501,100932.41292954746,3226185.393850722,1869482.9969019294,5996324.822151069,4857157.099790742,1163.0,16026394.342801578,515280.5246170417,334,10651.117946249566,0.3387183965402528,452.2284134142421,0.09803837546193733,3.410605131648481e-13
q43_emergency_6,True,True,0.8,60,9,safe,unclustered,12000.0,5000.0,0.9,6.0,"[0, 6, 12, 18]",16799315.12972714,17560285.09447468,24981118.97141345,24073093.1951501,100932.41292954746,3226185.393850722,1869482.9969019294,5996324.822151069,4857157.099790742,1163.0,16026394.342801578,772920.7869255625,334,10651.117946249566,0.3387183965402528,452.2284134142421,0.09803837546193733,3.410605131648481e-13
q43_emergency_8,True,True,0.8,60,9,safe,unclustered,12000.0,5000.0,0.9,8.0,"[0, 6, 12, 18]",17056955.392035663,17817925.356783196,24981118.97141345,24073093.1951501,100932.41292954746,3226185.393850722,1869482.9969019294,5996324.822151069,4857157.099790742,1163.0,16026394.342801578,1030561.0492340834,334,10651.117946249566,0.3387183965402528,452.2284134142421,0.09803837546193733,3.410605131648481e-13
