slot,natural_interval,input_time_label,price_yuan_per_kwh,load_kw,pv_kw,plan_purchase_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,pv_used_kwh,pv_curtailed_kwh,cost_yuan
58,09:30-09:40,09:40:00,0.9422,5907.586,6012.1304,0.0,17.42406666666659,0.0,1834.6281768272936,1850.3098368272936,1002.0217333333333,0.0,0.0
59,09:40-09:50,09:50:00,0.9569,5899.1262,6216.1528,0.0,52.83776666666654,0.0,1850.3098368272936,1897.8638268272935,1036.0254666666665,0.0,0.0
60,09:50-10:00,10:00:00,0.9977,5902.2196,6409.5941,0.0,84.56241666666665,0.0,1897.8638268272935,1973.9700018272933,1068.2656833333333,0.0,0.0
61,10:00-10:10,10:10,0.9919,5897.4793,6599.3808,0.0,116.9835833333334,0.0,1973.9700018272933,2079.2552268272934,1099.8968,0.0,0.0
62,10:10-10:20,10:20,0.9588,5886.7568,6766.7204,0.0,146.66060000000004,0.0,2079.2552268272934,2211.2497668272936,1127.7867333333334,0.0,0.0
63,10:20-10:30,10:30,0.9549,5873.4708,6914.5923,0.0,173.52024999999992,0.0,2211.2497668272936,2367.4179918272935,1152.43205,0.0,0.0
64,10:30-10:40,10:40,0.9839,5858.0308,7064.2053,0.0,201.02908333333323,0.0,2367.4179918272935,2548.3441668272935,1177.36755,0.0,0.0
65,10:40-10:50,10:50,0.799,5844.9948,7197.4315,0.0,225.40611666666655,0.0,2548.3441668272935,2751.2096718272933,1199.5719166666665,0.0,0.0
66,10:50-11:00,11:00,0.5025,5839.0587,7303.1142,0.0,244.00925000000007,0.0,2751.2096718272933,2970.8179968272934,1217.1857,0.0,0.0
67,11:00-11:10,11:10,0.4662,5838.7103,7387.6848,575.1709166666665,833.3333333333333,0.0,2970.8179968272934,3720.8179968272934,1231.2808,0.0,268.1446813499999
68,11:10-11:20,11:20,0.5007,5823.4378,7459.227,0.0,272.6315333333332,0.0,3720.8179968272934,3966.1863768272933,1243.2044999999998,0.0,0.0
69,11:20-11:30,11:30,0.4827,5814.7932,7520.7191,0.0,284.3209833333333,0.0,3966.1863768272933,4222.075261827294,1253.4531833333333,0.0,0.0
70,11:30-11:40,11:40,0.4785,5832.3951,7568.2039,179.27279796967784,468.57426463634465,0.0,4222.075261827294,4643.792100000004,1261.3673166666667,0.0,85.78203382849084
71,11:40-11:50,11:50,0.4662,5712.901,7592.1539,520.1245166666665,833.3333333333333,0.0,4643.792100000004,5393.792100000004,1265.3589833333333,0.0,242.48204966999992
72,11:50-12:00,12:00,0.4432,5519.4607,7601.0433,486.40289999999993,833.3333333333333,0.0,5393.792100000004,6143.792100000004,1266.84055,0.0,215.57376527999998
73,12:00-12:10,12:10,0.4411,5494.7907,7612.316,480.4124499999999,833.3333333333333,0.0,6143.792100000004,6893.792100000004,1268.7193333333332,0.0,211.90993169499995
74,12:10-12:20,12:20,0.4551,5514.4524,7602.6524,485.29999999999995,833.3333333333333,0.0,6893.792100000004,7643.792100000004,1267.1087333333332,0.0,220.86003
75,12:20-12:30,12:30,0.4463,5485.829,7554.1872,488.6069666666666,833.3333333333333,0.0,7643.792100000004,8393.792100000004,1259.0312,0.0,218.06528922333328
76,12:30-12:40,12:40,0.4113,5462.3628,7472.7384,498.27073333333317,833.3333333333333,0.0,8393.792100000004,9143.792100000004,1245.4564,0.0,204.93875261999995
77,12:40-12:50,12:50,0.5682,5566.1066,7393.4172,0.0,304.5517666666665,0.0,9143.792100000004,9417.888690000003,1232.2361999999998,0.0,0.0
78,12:50-13:00,13:00,0.8279,5725.7548,7312.7979,0.0,264.5071833333334,0.0,9417.888690000003,9655.945155000003,1218.79965,0.0,0.0
79,13:00-13:10,13:10,0.8636,5739.4957,7194.541,0.0,242.50754999999992,0.0,9655.945155000003,9874.201950000002,1199.0901666666666,0.0,0.0
80,13:10-13:20,13:20,0.8416,5714.6836,7053.1371,0.0,223.07558333333316,0.0,9874.201950000002,10074.969975000002,1175.5228499999998,0.0,0.0
81,13:20-13:30,13:30,0.8618,5717.8505,6910.4064,0.0,198.75931666666656,0.0,10074.969975000002,10253.853360000001,1151.7343999999998,0.0,0.0
82,13:30-13:40,13:40,0.8623,5708.2486,6772.4075,0.0,177.3598166666668,0.0,10253.853360000001,10413.477195000001,1128.7345833333334,0.0,0.0
83,13:40-13:50,13:50,0.9026,5696.9182,6607.36,0.0,151.74029999999982,0.0,10413.477195000001,10550.043465,1101.2266666666665,0.0,0.0
84,13:50-14:00,14:00,0.9754,5692.2983,6412.5085,0.0,120.0350333333331,0.0,10550.043465,10658.074995,1068.7514166666665,0.0,0.0
85,14:00-14:10,14:10,1.0002,5687.1291,6214.0158,0.0,87.81445000000008,0.0,10658.074995,10737.108,1035.6693,0.0,0.0
86,14:10-14:20,14:20,0.9978,5678.962,6000.7112,0.0,53.62486666666655,0.0,10737.108,10785.37038,1000.1185333333333,0.0,0.0
87,14:20-14:30,14:30,1.0271,5669.4508,5766.9816,0.0,16.255133333333447,0.0,10785.37038,10800.0,961.1636,0.0,0.0
88,14:30-14:40,14:40,1.0906,5664.1948,5521.5066,0.0,0.0,23.781366666666713,10800.0,10773.57625925926,920.2511,0.0,0.0
89,14:40-14:50,14:50,0.9376,5672.7011,5268.781,0.0,0.0,67.32001666666679,10773.57625925926,10698.77624074074,878.1301666666666,0.0,0.0
90,14:50-15:00,15:00,0.6694,5682.2544,5009.7152,112.0898666666667,0.0,0.0,10698.77624074074,10698.77624074074,834.9525333333332,0.0,75.03295674666668
91,15:00-15:10,15:10,0.66,5669.0195,4743.4484,266.73269362139905,112.47084362139907,0.0,10698.77624074074,10800.0,790.5747333333334,0.0,176.04357779012338
92,15:10-15:20,15:20,0.7217,5656.3651,4471.224,197.52351666666664,0.0,0.0,10800.0,10800.0,745.204,0.0,142.55272197833332
93,15:20-15:30,15:30,0.7308,5657.0867,4188.2025,244.8140333333332,0.0,0.0,10800.0,10800.0,698.03375,0.0,178.91009555999992
94,15:30-15:40,15:40,0.7534,5662.6008,3889.3931,295.5346166666667,0.0,0.0,10800.0,10800.0,648.2321833333333,0.0,222.65578019666668
95,15:40-15:50,15:50,0.7823,5669.2596,3594.5946,345.77750000000015,0.0,0.0,10800.0,10800.0,599.0990999999999,0.0,270.50173825000013
96,15:50-16:00,16:00,0.8055,5673.4767,3303.8878,394.9314833333333,0.0,0.0,10800.0,10800.0,550.6479666666667,0.0,318.11730982499995
97,16:00-16:10,16:10,0.8271,5671.0146,2998.4247,445.4316500000001,0.0,0.0,10800.0,10800.0,499.73744999999997,0.0,368.41651771500005
98,16:10-16:20,16:20,0.8519,5661.5926,2687.4131,495.69658333333325,0.0,0.0,10800.0,10800.0,447.90218333333337,0.0,422.2839193416666
99,16:20-16:30,16:30,0.8791,5665.8922,2383.1779,547.11905,0.0,0.0,10800.0,10800.0,397.1963166666667,0.0,480.972356855
100,16:30-16:40,16:40,0.9024,5689.0372,2089.1246,599.9854333333333,0.0,0.0,10800.0,10800.0,348.18743333333333,0.0,541.42685504
101,16:40-16:50,16:50,0.9163,5603.6614,1791.0829,635.4297499999999,0.0,-0.0,10800.0,10800.0,298.5138166666667,0.0,582.2442799249999
102,16:50-17:00,17:00,0.9264,5466.7124,1501.7283,660.8306833333334,0.0,-0.0,10800.0,10800.0,250.28805,0.0,612.19354504
103,17:00-17:10,17:10,0.9462,5467.3939,1255.1723,702.0369333333333,0.0,-0.0,10800.0,10800.0,209.19538333333333,0.0,664.26734632
104,17:10-17:20,17:20,0.9742,5464.727,1036.3323,738.0657833333333,0.0,-0.0,10800.0,10800.0,172.72205,0.0,719.0236861233333
105,17:20-17:30,17:30,0.9862,5492.4458,836.7775,775.9447166666666,0.0,-0.0,10800.0,10800.0,139.46291666666667,0.0,765.2366795766666
106,17:30-17:40,17:40,0.976,5621.7308,665.2313,826.08325,0.0,0.0,10800.0,10800.0,110.87188333333333,0.0,806.257252
107,17:40-17:50,17:50,1.0742,5091.2126,516.6758,762.4227999999999,0.0,-0.0,10800.0,10800.0,86.11263333333332,0.0,818.99457176
108,17:50-18:00,18:00,1.2313,4208.5688,386.6731,636.9826166666667,0.0,0.0,10800.0,10800.0,64.44551666666666,0.0,784.3166959016667
109,18:00-18:10,18:10,1.2561,4122.7611,275.7933,531.8940499999999,0.0,109.26725000000005,10800.0,10678.591944444444,45.96554999999999,0.0,668.1121162049999
110,18:10-18:20,18:20,1.2447,4255.9358,182.9526,678.8305333333333,0.0,0.0,10678.591944444444,10678.591944444444,30.492099999999997,0.0,844.9403648399999
111,18:20-18:30,18:30,1.2545,4225.9524,108.3414,686.2684999999999,0.0,0.0,10678.591944444444,10678.591944444444,18.0569,0.0,860.9238332499998
112,18:30-18:40,18:40,1.2522,4233.3384,54.3121,696.5043833333333,0.0,0.0,10678.591944444444,10678.591944444444,9.052016666666667,0.0,872.1627888099999
113,18:40-18:50,18:50,1.2881,4246.4625,18.6569,0.0,0.0,704.6342666666666,10678.591944444444,9895.664981481481,3.1094833333333334,0.0,0.0
114,18:50-19:00,19:00,1.3466,4239.1795,0.2753,0.0,0.0,706.4840333333333,9895.664981481481,9110.682722222222,0.04588333333333333,0.0,0.0
115,19:00-19:10,19:10,1.3523,4244.6684,0.2296,0.0,0.0,707.4064666666666,9110.682722222222,8324.675537037037,0.038266666666666664,0.0,0.0
116,19:10-19:20,19:20,1.3445,4251.9187,0.6007,0.0,0.0,708.553,8324.675537037037,7537.394425925927,0.10011666666666666,0.0,0.0
117,19:20-19:30,19:30,1.3483,4256.6813,0.0,0.0,0.0,709.4468833333333,7537.394425925927,6749.120111111112,0.0,0.0,0.0
118,19:30-19:40,19:40,1.349,4267.3947,0.0,0.0,0.0,711.23245,6749.120111111112,5958.861833333334,0.0,0.0,0.0
119,19:40-19:50,19:50,1.3473,4269.975,0.0,0.0,0.0,711.6625,5958.861833333334,5168.125722222223,0.0,0.0,0.0
120,19:50-20:00,20:00,1.3482,4268.6702,0.0,0.0,0.0,711.4450333333332,5168.125722222223,4377.631240740741,0.0,0.0,0.0
121,20:00-20:10,20:10,1.3513,4282.2245,0.0,0.0,0.0,713.7040833333333,4377.631240740741,3584.626703703704,0.0,0.0,0.0
122,20:10-20:20,20:20,1.34,4291.7049,0.0,0.0,0.0,715.28415,3584.626703703704,2789.8665370370372,0.0,0.0,0.0
123,20:20-20:30,20:30,1.3489,4291.3611,0.0,0.0,0.0,715.22685,2789.8665370370372,1995.170037037037,0.0,0.0,0.0
124,20:30-20:40,20:40,1.3952,4293.9182,0.0,0.0,0.0,715.6530333333333,1995.170037037037,1200.0,0.0,0.0,0.0
125,20:40-20:50,20:50,1.2226,4295.2135,0.0,715.8689166666666,0.0,-0.0,1200.0,1200.0,0.0,0.0,875.2213375166665
126,20:50-21:00,21:00,0.9332,4302.0307,0.0,717.0051166666667,0.0,0.0,1200.0,1200.0,0.0,0.0,669.1091748733334
127,21:00-21:10,21:10,0.9068,4320.9618,0.0,720.1603,0.0,0.0,1200.0,1200.0,0.0,0.0,653.0413600400001
128,21:10-21:20,21:20,0.9371,4302.3292,0.0,717.0548666666666,0.0,0.0,1200.0,1200.0,0.0,0.0,671.9521155533333
129,21:20-21:30,21:30,0.9371,4322.6758,0.0,720.4459666666667,0.0,0.0,1200.0,1200.0,0.0,0.0,675.1299153633333
130,21:30-21:40,21:40,0.9871,4428.8083,0.0,738.1347166666666,0.0,-0.0,1200.0,1200.0,0.0,0.0,728.6127788216666
131,21:40-21:50,21:50,0.7764,4030.1614,0.0,671.6935666666666,0.0,-0.0,1200.0,1200.0,0.0,0.0,521.5028851599999
132,21:50-22:00,22:00,0.4209,3362.7419,0.0,1393.7903166666665,833.3333333333333,0.0,1200.0,1950.0,0.0,0.0,586.6463442849999
133,22:00-22:10,22:10,0.3859,3309.3934,0.0,1384.8989,833.3333333333333,0.0,1950.0,2700.0,0.0,0.0,534.43248551
134,22:10-22:20,22:20,0.4368,3412.9563,0.0,568.8260499999999,0.0,0.0,2700.0,2700.0,0.0,0.0,248.46321863999998
135,22:20-22:30,22:30,0.4198,3381.9313,0.0,1396.98855,833.3333333333333,0.0,2700.0,3450.0,0.0,0.0,586.45579329
136,22:30-22:40,22:40,0.4186,3386.5592,0.0,1397.7598666666665,833.3333333333333,0.0,3450.0,4200.0,0.0,0.0,585.1022801866667
137,22:40-22:50,22:50,0.4241,3400.4846,0.0,566.7474333333332,0.0,0.0,4200.0,4200.0,0.0,0.0,240.3575864766666
138,22:50-23:00,23:00,0.4237,3399.2426,0.0,1399.8737666666666,833.3333333333333,0.0,4200.0,4950.0,0.0,0.0,593.1265149366667
139,23:00-23:10,23:10,0.4248,3406.9809,0.0,567.83015,0.0,0.0,4950.0,4950.0,0.0,0.0,241.21424772
140,23:10-23:20,23:20,0.424,3416.1518,0.0,569.3586333333333,0.0,0.0,4950.0,4950.0,0.0,0.0,241.4080605333333
141,23:20-23:30,23:30,0.422,3421.9811,0.0,1403.6635166666665,833.3333333333333,0.0,4950.0,5700.0,0.0,0.0,592.3460040333332
142,23:30-23:40,23:40,0.424,3429.6923,0.0,904.9487166666667,333.3333333333333,0.0,5700.0,6000.0,0.0,0.0,383.69825586666667
143,23:40-23:50,23:50,0.4271,3439.061,0.0,573.1768333333333,0.0,0.0,6000.0,6000.0,0.0,0.0,244.80382551666665
144,23:50-24:00,0:00+1,0.4276,3444.7259,0.0,574.1209833333332,0.0,0.0,6000.0,6000.0,0.0,0.0,245.49413247333328
